,Time,User,Tweet
0,2022-05-23 18:53:17+00:00,hubofml,"RT @ThatSmile9: @SkylerFleur SD Card/Data Recovery:
Retrieve your deleted videos, audios and photos very easily
#programming #coding #women…"
1,2022-05-23 18:52:55+00:00,MobilePunch,"Kano explosion painful, Buhari says at meeting with victims' families https://t.co/bnI3J3ZDVQ"
2,2022-05-23 18:52:22+00:00,vanguardngrnews,Lagos State Government has embarked on zero tolerance enforcement against operation of cart pushers for constitutin… https://t.co/GXzhfw32v3
3,2022-05-23 18:50:36+00:00,vanguardngrnews,Aisha Buhari visits APC secretariat https://t.co/TuWJATrfRo
4,2022-05-23 18:47:32+00:00,HermaineM,This is the content I always wanna see on my TL. https://t.co/BZrWVwkx4f
5,2022-05-23 18:47:11+00:00,vanguardngrnews,Japan’s Naomi Osaka crashed out of the French Open in a 7-5 6-4 first-round loss to American Amanda Anisimova on Mo… https://t.co/Wt7spyT7yH
6,2022-05-23 18:46:22+00:00,hubofml,RT @Datascience__: 285+ Machine Learning Projects with Python https://t.co/3VjmIzYsMk  #MachineLearning
7,2022-05-23 18:45:22+00:00,hubofml,"RT @ipfconline1: Spiking Neural Networks: where #neuroscience meets artificial intelligence

https://t.co/ptve250h3Q v/ @theaisummer

#AI #…"
8,2022-05-23 18:45:03+00:00,News24,"The bodies of 14 people have been found washed up on a beach in Myanmar, police said on Monday, with a local rescue… https://t.co/zlbbr87gP5"
9,2022-05-23 18:44:59+00:00,black_in_ai,RT @judywawira: Our reading race paper recently published @LancetDigitalH is on the from page of @MIT today  https://t.co/AwHGNH9DGA You ca…
10,2022-05-23 18:44:32+00:00,hubofml,"RT @JabaBanik: I have realised Data Science is short for Data Driven Science 🤩
#DataScience #MachineLearning #"
11,2022-05-23 18:43:48+00:00,vanguardngrnews,"Senate: Speaker Bassey, Enoidem, Sampson emerge flagbearers in A’Ibom https://t.co/ffKQSQVjgf"
12,2022-05-23 18:43:37+00:00,dailymaverick,The rollout of new TB prevention medicines in South Africa has progressed slower than expected and new TB preventio… https://t.co/eR2nmThEmX
13,2022-05-23 18:43:31+00:00,MobilePunch,Delegates' congress: Crisis hits Kaduna APC as Buhari's in-law petitions INEC https://t.co/YlMTWRC3Fv
14,2022-05-23 18:42:58+00:00,hubofml,"RT @BharadiaDinesh: Last several years, We have been working on building an indoor robotics platform that can navigate and map in all envir…"
15,2022-05-23 18:42:56+00:00,vanguardngrnews,West Ham defender Kurt Zouma has been charged with three offences after video emerged in February of him allegedly… https://t.co/E7augLq6mL
16,2022-05-23 18:42:55+00:00,hubofml,RT @odsc: Researchers create a mathematical framework to evaluate explanations of machine learning models and quantify how well people unde…
17,2022-05-23 18:42:22+00:00,OgbeniDipo,Power is power.
18,2022-05-23 18:40:48+00:00,IotMore,"RT @rwang0: MyPOV: Monday's Musings: Davos Report - The Five Uber Forces Impacting The Global Economy https://t.co/IoXAdu3nzK 
@wef @davos…"
19,2022-05-23 18:40:10+00:00,DrJoeAbah,"RT @SaharaReporters: Nothing Like ‘Unknown Gunmen’, Anambra Communities Should Give Us More Intelligence – Nigerian Police  | Sahara Report…"
